"correctedtimestamp","devicetimestamp","fingerprintid","previousfingerprintid","sitedomain","deviceos","devicetype","ipaddress","longitude","latitude","browsertype","screensize","clickedcontent","actiontaken","querystring","searchtimestamp","abandontimestamp","cookiesenabled","currentwebpage","linkdestination","pagetitle","pageaccesstimestamp","sessionid","gigyasessionid","bigdatasessionid","viewpageduration","rating","previouswebpage","likedcontent","shareretweetcontent","followedentity","clickedtimestamp","gigyaid","birthdate","mobilenumber","logintimestamp","logouttimestamp","readarticle","articleauthor","articlepostdate","commentedarticle","readingduration","articlecontentamount","writingeventtimestamp","commentcontent","sessionstarttimestamp","sessionendtimestamp","sessionduration","recoitemcount","recopropertyid","recocontentid","recocategoryid","recotype","isreco","videoplay","videopause","videoseekstart","videoseekend","videoresume","videostop","videoadclick","videoadcomplete","videoadskipped","videoadplay","videoadtime","videobuffer","videotimestamp","videoduration","videoisended","videoispaused","videofullscreen","videoplayerstate","videotitle","videourl","videovolume","videosize","videotype","videoquality","videoconsolidatedbuffertime","videototalbuffertime","videocategoryid","videocontentid","videocurrentposition","videoaderror","audioplay","audiopause","audioresume","audiostop","audiobuffer","audioisended","audioispaused","audioplayerstate","audiovolume","audiotitle","audioartist","audiourl","audiotype","audioformat","audiocodec","audioconsolidatedbuffertime","audiocategoryid","audiocontentid","audiotimestamp","audioduration","buildversionrelease","buildversioncodename","buildversionincremental","operatingsystemname","deviceimei","devicesimserial","applicationname","applicationuniqueid","applicationloadtimestamp","applicationabandontimestamp","previousview","destinationview","mobileapplicationmetatags","currentview","viewaccesstimestamp","connectivitytype","browserversion","mobiledevice","ssoid","osversion","devicename","pagedepth","bigdatacookieid","sourcescript","eventprocessedutctime","partitionid","eventenqueuedutctime"
2018-09-21T16:00:45.0000000,2018-09-21T16:00:31.0000000,"a89f467b7961494a99dcdc0ebb4c854e","a89f467b7961494a99dcdc0ebb4c854e","iwant","Mac OS","PC","221.121.187.209","","","Chrome","1440 x 900","pageload","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/21 15:59:43","","","4f5d2655-6106-4dbb-9687-0a06554df44d","0","","https://www.iwant.ph/","","","",2018-09-21T16:00:45.0000000,"3BA5D774366567ECBEE4B00BC3EA50F6","","","","","","","","","","","","","2018/9/21 15:37:53","2018/9/21 16:30:45","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Mac OS 10.13.6","","58","628a8895-f31d-4489-87bb-82dab7b159e1","eventjsott","","",""
2018-09-21T13:52:27.0000000,2018-09-21T13:52:14.0000000,"a89f467b7961494a99dcdc0ebb4c854e","a89f467b7961494a99dcdc0ebb4c854e","iwant","Mac OS","PC","221.121.187.209","","","Chrome","1440 x 900","pageload","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/21 13:52:26","","","2e1a1f0d-ec06-4f6f-9192-5f5046866b7f","0","","https://www.iwant.ph/movies/watch/ang-panday?id=d1d62487-7e11-4f09-afb6-bddc46b10c39","","","",2018-09-21T13:52:27.0000000,"3BA5D774366567ECBEE4B00BC3EA50F6","","","","","","","","","","","","","2018/9/21 13:52:26","2018/9/21 14:22:27","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Mac OS 10.13.6","","0","628a8895-f31d-4489-87bb-82dab7b159e1","eventjsott","","",""
2018-09-21T15:59:43.0000000,2018-09-21T15:59:52.0000000,"a89f467b7961494a99dcdc0ebb4c854e","a89f467b7961494a99dcdc0ebb4c854e","iwant","Mac OS","PC","221.121.187.209","","","Chrome","1440 x 900","pageload","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/21 15:59:43","","","f86dd3b5-3715-4e41-8363-88610124e131","","","https://www.iwant.ph/","","","",2018-09-21T15:59:43.0000000,"3BA5D774366567ECBEE4B00BC3EA50F6","","","","","","","","","","","","","2018/9/21 15:37:53","2018/9/21 16:29:43","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Mac OS 10.13.6","","100","628a8895-f31d-4489-87bb-82dab7b159e1","eventjspage","","",""
2018-09-21T15:38:17.0000000,2018-09-21T15:38:01.0000000,"a89f467b7961494a99dcdc0ebb4c854e","a89f467b7961494a99dcdc0ebb4c854e","iwant","Mac OS","PC","221.121.187.209","","","Chrome","1440 x 900","pageload","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/21 15:37:53","","","f86dd3b5-3715-4e41-8363-88610124e131","0","","https://www.iwant.ph/movies/watch/ang-panday?id=d1d62487-7e11-4f09-afb6-bddc46b10c39","","","",2018-09-21T15:38:17.0000000,"3BA5D774366567ECBEE4B00BC3EA50F6","","","","","","","","","","","","","2018/9/21 15:37:53","2018/9/21 16:8:17","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Mac OS 10.13.6","","0","628a8895-f31d-4489-87bb-82dab7b159e1","eventjsott","","",""
2018-09-21T13:55:08.0000000,2018-09-21T13:54:54.0000000,"a89f467b7961494a99dcdc0ebb4c854e","a89f467b7961494a99dcdc0ebb4c854e","iwant","Mac OS","PC","221.121.187.209","","","Chrome","1440 x 900","pageload","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/21 13:55:8","","","2e1a1f0d-ec06-4f6f-9192-5f5046866b7f","","","https://www.iwant.ph/movies/watch/ang-panday?id=d1d62487-7e11-4f09-afb6-bddc46b10c39","","","",2018-09-21T13:55:08.0000000,"3BA5D774366567ECBEE4B00BC3EA50F6","","","","","","","","","","","","","2018/9/21 13:52:26","2018/9/21 14:25:8","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Mac OS 10.13.6","","0","628a8895-f31d-4489-87bb-82dab7b159e1","eventjspage","","",""
2018-09-21T15:02:50.0000000,2018-09-21T15:02:58.0000000,"39f9518d42f430b7907f09d10a8db2c2","39f9518d42f430b7907f09d10a8db2c2","iwant","iOS","MOBILE","110.54.149.100","","","Safari Mobile","375 x 667","pageload","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/21 15:2:38","","","28a9e84b-f26e-4643-96a7-3c73966c3e19","","","","","","",2018-09-21T15:02:50.0000000,"","","","","","","","","","","","","","2018/9/21 15:2:38","2018/9/21 15:32:38","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mobile Safari 11.0","","","iOS 11.4.1","Apple iPhone","100","28a9e84b-f26e-4643-96a7-3c73966c3e19","","","",""
2018-09-21T15:37:53.0000000,2018-09-21T15:38:01.0000000,"a89f467b7961494a99dcdc0ebb4c854e","a89f467b7961494a99dcdc0ebb4c854e","iwant","Mac OS","PC","221.121.187.209","","","Chrome","1440 x 900","pageload","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/21 15:37:53","","","045d8246-d6ce-4035-98e1-bdc5051bd700","","","https://www.iwant.ph/movies/watch/ang-panday?id=d1d62487-7e11-4f09-afb6-bddc46b10c39","","","",2018-09-21T15:37:53.0000000,"3BA5D774366567ECBEE4B00BC3EA50F6","","","","","","","","","","","","","2018/9/21 15:37:53","2018/9/21 16:7:53","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Mac OS 10.13.6","","100","628a8895-f31d-4489-87bb-82dab7b159e1","eventjspage","","",""
2018-09-21T15:04:45.0000000,2018-09-21T15:04:48.0000000,"39f9518d42f430b7907f09d10a8db2c2","39f9518d42f430b7907f09d10a8db2c2","iwant","iOS","MOBILE","110.54.149.100","","","Safari Mobile","375 x 667","image","clickimage","","","","true","https://www.iwant.ph/","","iWant","2018/9/21 15:2:38","","","47ceece6-5920-4ad8-b80c-60fbb186b78c","84000","","","","","",2018-09-21T15:04:45.0000000,"","","","","","","","","","","","","","2018/9/21 15:2:38","2018/9/21 15:34:45","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mobile Safari 11.0","","","iOS 11.4.1","Apple iPhone","0","28a9e84b-f26e-4643-96a7-3c73966c3e19","","","",""
2018-09-21T15:02:54.0000000,2018-09-21T15:02:58.0000000,"39f9518d42f430b7907f09d10a8db2c2","39f9518d42f430b7907f09d10a8db2c2","iwant","iOS","MOBILE","110.54.149.100","","","Safari Mobile","375 x 667","pageload","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/21 15:2:38","","","47ceece6-5920-4ad8-b80c-60fbb186b78c","12000","","","","","",2018-09-21T15:02:54.0000000,"","","","","","","","","","","","","","2018/9/21 15:2:38","2018/9/21 15:32:54","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mobile Safari 11.0","","","iOS 11.4.1","Apple iPhone","0","28a9e84b-f26e-4643-96a7-3c73966c3e19","eventjsott","","",""
2018-09-21T15:03:09.0000000,2018-09-21T15:03:10.0000000,"39f9518d42f430b7907f09d10a8db2c2","39f9518d42f430b7907f09d10a8db2c2","iwant","iOS","MOBILE","110.54.149.100","","","Safari Mobile","375 x 667","image","clickimage","","","","true","https://www.iwant.ph/","","iWant","2018/9/21 15:2:38","","","47ceece6-5920-4ad8-b80c-60fbb186b78c","16000","","","","","",2018-09-21T15:03:09.0000000,"","","","","","","","","","","","","","2018/9/21 15:2:38","2018/9/21 15:33:9","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mobile Safari 11.0","","","iOS 11.4.1","Apple iPhone","0","28a9e84b-f26e-4643-96a7-3c73966c3e19","","","",""
