"correctedtimestamp","devicetimestamp","fingerprintid","previousfingerprintid","sitedomain","deviceos","devicetype","ipaddress","longitude","latitude","browsertype","screensize","clickedcontent","actiontaken","querystring","searchtimestamp","abandontimestamp","cookiesenabled","currentwebpage","linkdestination","pagetitle","pageaccesstimestamp","sessionid","gigyasessionid","bigdatasessionid","viewpageduration","rating","previouswebpage","likedcontent","shareretweetcontent","followedentity","clickedtimestamp","gigyaid","birthdate","mobilenumber","logintimestamp","logouttimestamp","readarticle","articleauthor","articlepostdate","commentedarticle","readingduration","articlecontentamount","writingeventtimestamp","commentcontent","sessionstarttimestamp","sessionendtimestamp","sessionduration","recoitemcount","recopropertyid","recocontentid","recocategoryid","recotype","isreco","videoplay","videopause","videoseekstart","videoseekend","videoresume","videostop","videoadclick","videoadcomplete","videoadskipped","videoadplay","videoadtime","videobuffer","videotimestamp","videoduration","videoisended","videoispaused","videofullscreen","videoplayerstate","videotitle","videourl","videovolume","videosize","videotype","videoquality","videoconsolidatedbuffertime","videototalbuffertime","videocategoryid","videocontentid","videocurrentposition","videoaderror","audioplay","audiopause","audioresume","audiostop","audiobuffer","audioisended","audioispaused","audioplayerstate","audiovolume","audiotitle","audioartist","audiourl","audiotype","audioformat","audiocodec","audioconsolidatedbuffertime","audiocategoryid","audiocontentid","audiotimestamp","audioduration","buildversionrelease","buildversioncodename","buildversionincremental","operatingsystemname","deviceimei","devicesimserial","applicationname","applicationuniqueid","applicationloadtimestamp","applicationabandontimestamp","previousview","destinationview","mobileapplicationmetatags","currentview","viewaccesstimestamp","connectivitytype","browserversion","mobiledevice","ssoid","osversion","devicename","pagedepth","bigdatacookieid","sourcescript","eventprocessedutctime","partitionid","eventenqueuedutctime"
2018-09-28T14:43:15.0000000,2018-09-28T14:43:26.0000000,"a89f467b7961494a99dcdc0ebb4c854e","a89f467b7961494a99dcdc0ebb4c854e","iwant","Mac OS","PC","221.121.187.210","","","Chrome","1440 x 900","Page End","abandon","","","2018/9/28 14:43:15","true","https://www.iwant.ph/","","iWant","2018/9/28 10:15:39","","","3a96e12b-4bcd-42b8-82bb-1a6382c39233","16056000","","https://www.iwant.ph/","","","",2018-09-28T14:43:15.0000000,"3BA5D774366567ECBEE4B00BC3EA50F6","","","","","","","","","","","","","2018/9/28 10:15:39","2018/9/28 10:46:19","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Mac OS 10.13.6","","0","714fd2ef-4ac7-4e90-abfe-a65914c9b619","","","",""
2018-09-28T10:15:39.0000000,2018-09-28T10:15:59.0000000,"a89f467b7961494a99dcdc0ebb4c854e","a89f467b7961494a99dcdc0ebb4c854e","iwant","Mac OS","PC","221.121.187.209","","","Chrome","1440 x 900","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/28 10:15:39","","","f8e801dd-d178-4e8d-b2ea-c14cc851e48b","","","https://www.iwant.ph/","","","",2018-09-28T10:15:39.0000000,"3BA5D774366567ECBEE4B00BC3EA50F6","","","","","","","","","","","","","2018/9/28 10:15:39","2018/9/28 10:45:39","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Mac OS 10.13.6","","100","714fd2ef-4ac7-4e90-abfe-a65914c9b619","eventjspage","","",""
2018-09-28T11:01:38.0000000,2018-09-28T11:01:32.0000000,"5eb1a1d4339f8d8e40c0a5f553327fb6","5eb1a1d4339f8d8e40c0a5f553327fb6","iwant","Mac OS","PC","221.121.187.210","","","Chrome","1440 x 900","image","clickimage","","","","true","https://www.iwant.ph/movies/watch/my-kuya's-wedding?id=4a3eb7e4-2036-4fac-bc40-f455f48f7467","https://www.iwant.ph/","iWant","2018/9/28 10:49:18","","","c5d40080-c0b4-47c7-aa68-d08eff84f009","367000","","https://www.iwant.ph/login","","","",2018-09-28T11:01:38.0000000,"DCFE9B103D83980A9AAA0CDF2D879BF6","","","","","","","","","","","","","2018/9/28 10:49:8","2018/9/28 11:31:38","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 62.0.3202.62","","","Mac OS 10.13.3","","0","99578e68-4a5d-4c36-a301-c72ebd9c53bd","","","",""
2018-09-28T10:51:57.0000000,2018-09-28T10:51:50.0000000,"5eb1a1d4339f8d8e40c0a5f553327fb6","5eb1a1d4339f8d8e40c0a5f553327fb6","iwant","Mac OS","PC","221.121.187.210","","","Chrome","1440 x 900","image","clickimage","","","","true","https://www.iwant.ph/","https://www.iwant.ph/","iWant","2018/9/28 10:49:18","","","c5d40080-c0b4-47c7-aa68-d08eff84f009","153000","","https://www.iwant.ph/login","","","",2018-09-28T10:51:57.0000000,"DCFE9B103D83980A9AAA0CDF2D879BF6","","","","","","","","","","","","","2018/9/28 10:49:8","2018/9/28 11:21:57","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 62.0.3202.62","","","Mac OS 10.13.3","","0","99578e68-4a5d-4c36-a301-c72ebd9c53bd","","","",""
2018-09-28T19:51:08.0000000,2018-09-28T19:51:11.0000000,"855b85dc1682ecc958021868b7eee7a7","855b85dc1682ecc958021868b7eee7a7","iwant","iOS","MOBILE","203.87.156.125","","","Safari Mobile","375 x 812","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/28 19:51:3","","","371d4c9f-d592-4975-a504-0fbc71529e3d","","","","","","",2018-09-28T19:51:08.0000000,"","","","","","","","","","","","","","2018/9/28 19:51:3","2018/9/28 20:21:3","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mobile Safari 11.0","","","iOS 11.4.1","Apple iPhone","100","371d4c9f-d592-4975-a504-0fbc71529e3d","","","",""
2018-09-28T19:51:18.0000000,2018-09-28T19:51:19.0000000,"855b85dc1682ecc958021868b7eee7a7","855b85dc1682ecc958021868b7eee7a7","iwant","iOS","MOBILE","203.87.156.125","","","Safari Mobile","375 x 812","LIVE","clickhyperlink","","","","true","https://www.iwant.ph/","","iWant","2018/9/28 19:51:3","","","9da54aad-5124-427c-95f6-13897850a11c","9000","","","","","",2018-09-28T19:51:18.0000000,"","","","","","","","","","","","","","2018/9/28 19:51:3","2018/9/28 20:21:18","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mobile Safari 11.0","","","iOS 11.4.1","Apple iPhone","0","371d4c9f-d592-4975-a504-0fbc71529e3d","","","",""
2018-09-28T14:43:39.0000000,2018-09-28T14:43:24.0000000,"a89f467b7961494a99dcdc0ebb4c854e","a89f467b7961494a99dcdc0ebb4c854e","iwant","Mac OS","PC","221.121.187.210","","","Chrome","1440 x 900","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/28 14:43:16","","","e92fead3-5b5b-4e8e-9d23-f694026c8a24","0","","https://www.iwant.ph/","","","",2018-09-28T14:43:39.0000000,"3BA5D774366567ECBEE4B00BC3EA50F6","","","","","","","","","","","","","2018/9/28 14:43:16","2018/9/28 15:13:16","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Mac OS 10.13.6","","0","714fd2ef-4ac7-4e90-abfe-a65914c9b619","eventjsott","","",""
2018-09-28T11:03:09.0000000,2018-09-28T11:03:03.0000000,"5eb1a1d4339f8d8e40c0a5f553327fb6","5eb1a1d4339f8d8e40c0a5f553327fb6","iwant","Mac OS","PC","221.121.187.210","","","Chrome","1440 x 900","watching video","videoplay","","","","true","https://www.iwant.ph/movies/watch/my-kuya's-wedding?id=4a3eb7e4-2036-4fac-bc40-f455f48f7467","https://www.iwant.ph/","iWant","2018/9/28 10:49:18","","","c5d40080-c0b4-47c7-aa68-d08eff84f009","740000","","https://www.iwant.ph/login","","","",2018-09-28T11:03:09.0000000,"DCFE9B103D83980A9AAA0CDF2D879BF6","","","","","","","","","","","","","2018/9/28 10:49:8","2018/9/28 11:31:38","","","24","","","",,0,,,,,,,,,,,1,"2018/9/28 11:3:9:887","","false","false","false","video playing","My-Kuya's-Wedding","https://iwantnow-vh.akamaihd.net/i/PRADAVOD/ppv/july2017/mykuyaswedding-,150000,300000,500000,800000,1000000,1300000,1500000,.mp4.csmil/master.m3u8?hdnea=exp=1538190091~acl=/*~hmac=273aeaef23dda6b58c3fa474f91ab4bce4fb3337de604214f6e387523a92d844","1","700 X 1428","akamai","","37.887|","37.887","","4a3eb7e4-2036-4fac-bc40-f455f48f7467","0","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 62.0.3202.62","","","Mac OS 10.13.3","","0","99578e68-4a5d-4c36-a301-c72ebd9c53bd","","","",""
2018-09-28T15:46:55.0000000,2018-09-28T15:46:40.0000000,"a89f467b7961494a99dcdc0ebb4c854e","a89f467b7961494a99dcdc0ebb4c854e","iwant","Mac OS","PC","221.121.187.210","","","Chrome","1440 x 900","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/28 15:46:31","","","2992dbd0-af21-43e9-9f4c-3560c48c1c09","0","","https://www.iwant.ph/","","","",2018-09-28T15:46:55.0000000,"3BA5D774366567ECBEE4B00BC3EA50F6","","","","","","","","","","","","","2018/9/28 15:46:31","2018/9/28 16:16:31","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Mac OS 10.13.6","","0","714fd2ef-4ac7-4e90-abfe-a65914c9b619","eventjsott","","",""
2018-09-28T18:17:35.0000000,2018-09-28T18:17:19.0000000,"a89f467b7961494a99dcdc0ebb4c854e","a89f467b7961494a99dcdc0ebb4c854e","iwant","Mac OS","PC","221.121.187.210","","","Chrome","1440 x 900","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/28 18:17:31","","","ea1a0c48-a302-4845-85f8-ad875d17ea79","0","","https://www.iwant.ph/","","","",2018-09-28T18:17:35.0000000,"3BA5D774366567ECBEE4B00BC3EA50F6","","","","","","","","","","","","","2018/9/28 18:17:31","2018/9/28 18:47:35","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Mac OS 10.13.6","","0","714fd2ef-4ac7-4e90-abfe-a65914c9b619","eventjsott","","",""
