"correctedtimestamp","devicetimestamp","fingerprintid","previousfingerprintid","sitedomain","deviceos","devicetype","ipaddress","longitude","latitude","browsertype","screensize","clickedcontent","actiontaken","querystring","searchtimestamp","abandontimestamp","cookiesenabled","currentwebpage","linkdestination","pagetitle","pageaccesstimestamp","sessionid","gigyasessionid","bigdatasessionid","viewpageduration","rating","previouswebpage","likedcontent","shareretweetcontent","followedentity","clickedtimestamp","gigyaid","birthdate","mobilenumber","logintimestamp","logouttimestamp","readarticle","articleauthor","articlepostdate","commentedarticle","readingduration","articlecontentamount","writingeventtimestamp","commentcontent","sessionstarttimestamp","sessionendtimestamp","sessionduration","recoitemcount","recopropertyid","recocontentid","recocategoryid","recotype","isreco","videoplay","videopause","videoseekstart","videoseekend","videoresume","videostop","videoadclick","videoadcomplete","videoadskipped","videoadplay","videoadtime","videobuffer","videotimestamp","videoduration","videoisended","videoispaused","videofullscreen","videoplayerstate","videotitle","videourl","videovolume","videosize","videotype","videoquality","videoconsolidatedbuffertime","videototalbuffertime","videocategoryid","videocontentid","videocurrentposition","videoaderror","audioplay","audiopause","audioresume","audiostop","audiobuffer","audioisended","audioispaused","audioplayerstate","audiovolume","audiotitle","audioartist","audiourl","audiotype","audioformat","audiocodec","audioconsolidatedbuffertime","audiocategoryid","audiocontentid","audiotimestamp","audioduration","buildversionrelease","buildversioncodename","buildversionincremental","operatingsystemname","deviceimei","devicesimserial","applicationname","applicationuniqueid","applicationloadtimestamp","applicationabandontimestamp","previousview","destinationview","mobileapplicationmetatags","currentview","viewaccesstimestamp","connectivitytype","browserversion","mobiledevice","ssoid","osversion","devicename","pagedepth","bigdatacookieid","sourcescript","eventprocessedutctime","partitionid","eventenqueuedutctime"
2018-09-19T18:49:59.0000000,2018-09-19T18:50:10.0000000,"f9f373d08eb43a8dd392018e4f7e6e93","f9f373d08eb43a8dd392018e4f7e6e93","iwant","iOS","MOBILE","122.53.31.200","","","Safari","768 x 1024","pageload","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/19 18:49:55","","","ffbeb5f4-d356-4be0-9003-cb85622272a7","","","","","","",2018-09-19T18:49:59.0000000,"","","","","","","","","","","","","","2018/9/19 18:49:55","2018/9/19 19:19:55","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","ffbeb5f4-d356-4be0-9003-cb85622272a7","","2018-09-19T10:50:10.6589941Z","14","2018-09-19T10:50:10.5740000Z"
2018-09-19T11:46:57.0000000,2018-09-19T11:46:58.0000000,"47b860af5ec6ef798bf43bf9739bff32","47b860af5ec6ef798bf43bf9739bff32","iwant","Windows","PC","221.121.187.253","","","Chrome","1920 x 1080","pageload","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/19 11:46:47","","","8646daac-e08c-400c-b085-e93fb8f86e56","0","","","","","",2018-09-19T11:46:57.0000000,"","","","","","","","","","","","","","2018/9/19 11:46:47","2018/9/19 12:16:57","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 68.0.3440.106","","","Windows 10","","0","03d1422b-18db-4a42-8ed5-fce3813b3b29","eventjsott","2018-09-19T03:48:01.5672961Z","9","2018-09-19T03:46:58.5240000Z"
2018-09-19T11:46:47.0000000,2018-09-19T11:46:57.0000000,"47b860af5ec6ef798bf43bf9739bff32","47b860af5ec6ef798bf43bf9739bff32","iwant","Windows","PC","221.121.187.253","","","Chrome","1920 x 1080","pageload","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/19 11:46:47","","","03d1422b-18db-4a42-8ed5-fce3813b3b29","","","","","","",2018-09-19T11:46:47.0000000,"","","","","","","","","","","","","","2018/9/19 11:46:47","2018/9/19 12:16:47","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","03d1422b-18db-4a42-8ed5-fce3813b3b29","eventjspage","2018-09-19T03:48:18.5060295Z","1","2018-09-19T03:46:57.5910000Z"
2018-09-19T11:47:01.0000000,2018-09-19T11:47:01.0000000,"47b860af5ec6ef798bf43bf9739bff32","47b860af5ec6ef798bf43bf9739bff32","iwant","Windows","PC","221.121.187.253","","","Chrome","1920 x 1080","Page End","abandon","","","2018/9/10 14:32:7","true","https://www.iwant.ph/interests?post_register=true","","iWant","2018/9/10 14:29:7","","","80b537b8-c330-4c86-a804-c1864f60ce71","180000","","https://www.iwant.ph/","","","",2018-09-10T14:32:07.0000000,"","","","","","","","","","","","","","2018/9/10 14:21:23","2018/9/10 15:1:48","","","0","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 68.0.3440.106","","","Windows 10","","0","92361876-ade6-472f-b464-4929ff4c64dc","","2018-09-19T03:48:13.9905581Z","15","2018-09-19T03:47:01.7200000Z"
2018-09-19T17:23:27.0000000,2018-09-19T17:23:31.0000000,"e401573bc469820f01a36dd5fe9154f8","e401573bc469820f01a36dd5fe9154f8","iwant","Windows","PC","221.121.187.209","","","Chrome","1920 x 1080","pageload","load","","","","true","https://www.iwant.ph/","","iWant","2018/9/19 17:23:23","","","2ed12597-3915-48c2-ae0c-3473d555bc4f","3000","","","","","",2018-09-19T17:23:27.0000000,"","","","","","","","","","","","","","2018/9/19 17:23:23","2018/9/19 17:53:27","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 68.0.3440.106","","","Windows 10","","100","bc0396a2-f73a-4565-aac5-7dceb005a33a","eventjsott","2018-09-19T09:23:31.7789346Z","1","2018-09-19T09:23:31.7500000Z"
2018-09-19T17:23:33.0000000,2018-09-19T17:23:33.0000000,"e401573bc469820f01a36dd5fe9154f8","e401573bc469820f01a36dd5fe9154f8","iwant","Windows","PC","221.121.187.209","","","Chrome","1920 x 1080","Login Link","login","","","","true","https://www.iwant.ph/","","iWant","2018/9/19 17:23:23","","","2ed12597-3915-48c2-ae0c-3473d555bc4f","4000","","","","","",2018-09-19T17:23:33.0000000,"AB9B45BB427C8B63B13E53787744DB5B","","","2018/9/19 17:23:33","","","","","","","","","","2018/9/19 17:23:23","2018/9/19 17:53:27","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 68.0.3440.106","","","Windows 10","","0","bc0396a2-f73a-4565-aac5-7dceb005a33a","","2018-09-19T09:23:33.5143435Z","6","2018-09-19T09:23:33.3890000Z"
2018-09-19T17:23:56.0000000,2018-09-19T17:23:58.0000000,"e401573bc469820f01a36dd5fe9154f8","e401573bc469820f01a36dd5fe9154f8","iwant","Windows","PC","221.121.187.209","","","Chrome","1920 x 1080","TV SHOWS","clickhyperlink","","","","true","https://www.iwant.ph/","","iWant","2018/9/19 17:23:23","","","2ed12597-3915-48c2-ae0c-3473d555bc4f","10000","","","","","",2018-09-19T17:23:56.0000000,"AB9B45BB427C8B63B13E53787744DB5B","","","","","","","","","","","","","2018/9/19 17:23:23","2018/9/19 17:53:56","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 68.0.3440.106","","","Windows 10","","0","bc0396a2-f73a-4565-aac5-7dceb005a33a","","2018-09-19T09:23:58.1482926Z","1","2018-09-19T09:23:58.0670000Z"
