"correctedtimestamp","devicetimestamp","fingerprintid","previousfingerprintid","sitedomain","deviceos","devicetype","ipaddress","longitude","latitude","browsertype","screensize","clickedcontent","actiontaken","querystring","searchtimestamp","abandontimestamp","cookiesenabled","currentwebpage","linkdestination","pagetitle","pageaccesstimestamp","sessionid","gigyasessionid","bigdatasessionid","viewpageduration","rating","previouswebpage","likedcontent","shareretweetcontent","followedentity","clickedtimestamp","gigyaid","birthdate","mobilenumber","logintimestamp","logouttimestamp","readarticle","articleauthor","articlepostdate","commentedarticle","readingduration","articlecontentamount","writingeventtimestamp","commentcontent","sessionstarttimestamp","sessionendtimestamp","sessionduration","recoitemcount","recopropertyid","recocontentid","recocategoryid","recotype","isreco","videoplay","videopause","videoseekstart","videoseekend","videoresume","videostop","videoadclick","videoadcomplete","videoadskipped","videoadplay","videoadtime","videobuffer","videotimestamp","videoduration","videoisended","videoispaused","videofullscreen","videoplayerstate","videotitle","videourl","videovolume","videosize","videotype","videoquality","videoconsolidatedbuffertime","videototalbuffertime","videocategoryid","videocontentid","videocurrentposition","videoaderror","audioplay","audiopause","audioresume","audiostop","audiobuffer","audioisended","audioispaused","audioplayerstate","audiovolume","audiotitle","audioartist","audiourl","audiotype","audioformat","audiocodec","audioconsolidatedbuffertime","audiocategoryid","audiocontentid","audiotimestamp","audioduration","buildversionrelease","buildversioncodename","buildversionincremental","operatingsystemname","deviceimei","devicesimserial","applicationname","applicationuniqueid","applicationloadtimestamp","applicationabandontimestamp","previousview","destinationview","mobileapplicationmetatags","currentview","viewaccesstimestamp","connectivitytype","browserversion","mobiledevice","ssoid","osversion","devicename","pagedepth","bigdatacookieid","sourcescript","eventprocessedutctime","partitionid","eventenqueuedutctime"
2018-10-01T14:59:15.0000000,2018-10-01T14:59:15.0000000,"0b4326229918b12ff86c457e304b0752","0b4326229918b12ff86c457e304b0752","iwant","Windows","PC","119.94.102.250","","","Firefox","1366 x 768","Contact Us","clickhyperlink","","","","true","https://www.iwant.ph/tv/watch/tonight-with-boy-abunda/twbamarcogumabao---sep-26,-2018?id=4b3966ba-6b90-4b6d-bf32-4f0e0eb9946d&sid=15e00dd3-4834-44bf-bdeb-89ed7b432a51","https://www.iwant.ph/originals","iWant","2018/9/26 23:45:7","","","adf5e745-e2d8-4b55-a35e-38c18de6d3aa","104000","","https://www.iwant.ph/","","","",2018-09-26T23:47:06.0000000,"C81FDB650CBFFE8FD6B5846132F9E7AF","","","","","","","","","","","","","2018/9/26 23:44:49","2018/9/27 0:17:6","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Firefox 62.0","","","Windows 10","","100","8646e7d5-ab8a-4912-b665-6a71ec3a8ac1","","","",""
2018-10-01T11:48:57.0000000,2018-10-01T11:48:59.0000000,"27cd65122098de3858f6a1bb072ef539","27cd65122098de3858f6a1bb072ef539","iwant","","PC","130.105.104.126","","","Edge","1600 x 900","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/10/1 11:48:46","","","604b7014-338d-468c-a9cc-6a40c3c0686f","8000","","","","","",2018-10-01T11:48:57.0000000,"","","","","","","","","","","","","","2018/10/1 11:48:46","2018/10/1 12:18:57","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5bb7e70d-13ac-4d56-905e-827ae5bc5db9","eventjsott","","",""
2018-10-01T15:16:47.0000000,2018-10-01T15:17:10.0000000,"731b581b02f15ca8875f54ac9fbdd62b","731b581b02f15ca8875f54ac9fbdd62b","iwant","Android","MOBILE","110.54.190.114","","","Chrome","412 x 846","Page End","abandon","","","2018/10/1 15:16:47","true","https://www.iwant.ph/","","iWant","2018/10/1 15:16:37","","","a36b5510-8609-454e-b2e0-3a04ce6eedc6","10000","","https://www.iwant.ph/","","","",2018-10-01T15:16:47.0000000,"","","","","","","","","","","","","","2018/10/1 15:16:37","2018/10/1 15:46:39","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Android 8.0.0","Samsung SM-G960F","0","51ebb9c5-2cd9-4eae-aeb4-15118a34e513","","","",""
2018-10-01T15:16:42.0000000,2018-10-01T15:16:42.0000000,"731b581b02f15ca8875f54ac9fbdd62b","731b581b02f15ca8875f54ac9fbdd62b","iwant","Android","MOBILE","110.54.190.114","","","Chrome","412 x 846","Page End","abandon","","","2018/9/29 21:35:24","true","https://www.iwant.ph/","","iWant","2018/9/29 21:35:1","","","005f800d-4d40-4099-b5d3-cdcb4a3771a4","23000","","","","","",2018-09-29T21:35:24.0000000,"","","","","","","","","","","","","","2018/9/29 21:34:39","2018/9/29 22:5:18","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Android 8.0.0","Samsung SM-G960F","0","51ebb9c5-2cd9-4eae-aeb4-15118a34e513","","","",""
2018-10-01T15:16:48.0000000,2018-10-01T15:16:49.0000000,"731b581b02f15ca8875f54ac9fbdd62b","731b581b02f15ca8875f54ac9fbdd62b","iwant","Android","MOBILE","110.54.190.114","","","Chrome","412 x 846","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/10/1 15:16:48","","","a36b5510-8609-454e-b2e0-3a04ce6eedc6","","","https://www.iwant.ph/","","","",2018-10-01T15:16:48.0000000,"","","","","","","","","","","","","","2018/10/1 15:16:37","2018/10/1 15:46:48","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Android 8.0.0","","100","51ebb9c5-2cd9-4eae-aeb4-15118a34e513","eventjspage","","",""
2018-10-01T14:59:29.0000000,2018-10-01T14:59:34.0000000,"288b3de50e81dfbe054286981d4b0aec","0b4326229918b12ff86c457e304b0752","iwant","Windows","PC","119.94.102.250","","","Firefox","1366 x 768","image","clickimage","","","","true","https://www.iwant.ph/","","iWant","2018/10/1 14:59:1","","","112639e9-1218-4981-85fa-209ce88e68c1","4000","","https://www.iwant.ph/","","","",2018-10-01T14:59:29.0000000,"C81FDB650CBFFE8FD6B5846132F9E7AF","","","","","","","","","","","","","2018/10/1 14:59:1","2018/10/1 15:29:29","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Firefox 62.0","","","Windows 10","","51","8646e7d5-ab8a-4912-b665-6a71ec3a8ac1","","","",""
2018-10-01T15:17:07.0000000,2018-10-01T15:17:09.0000000,"731b581b02f15ca8875f54ac9fbdd62b","731b581b02f15ca8875f54ac9fbdd62b","iwant","Android","MOBILE","110.54.190.114","","","Chrome","412 x 846","Page Load","load","","","","true","https://www.iwant.ph/","","iWant","2018/10/1 15:16:48","","","a36b5510-8609-454e-b2e0-3a04ce6eedc6","0","","https://www.iwant.ph/","","","",2018-10-01T15:17:07.0000000,"","","","","","","","","","","","","","2018/10/1 15:16:37","2018/10/1 15:46:48","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chrome 69.0.3497.100","","","Android 8.0.0","Samsung SM-G960F","0","51ebb9c5-2cd9-4eae-aeb4-15118a34e513","eventjsott","","",""
2018-10-01T14:59:50.0000000,2018-10-01T14:59:55.0000000,"288b3de50e81dfbe054286981d4b0aec","0b4326229918b12ff86c457e304b0752","iwant","Windows","PC","119.94.102.250","","","Firefox","1366 x 768","TV","clickhyperlink","","","","true","https://www.iwant.ph/tv","","iWant","2018/10/1 14:59:1","","","112639e9-1218-4981-85fa-209ce88e68c1","28000","","https://www.iwant.ph/","","","",2018-10-01T14:59:50.0000000,"C81FDB650CBFFE8FD6B5846132F9E7AF","","","","","","","","","","","","","2018/10/1 14:59:1","2018/10/1 15:29:50","","","24","","","",,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Firefox 62.0","","","Windows 10","","0","8646e7d5-ab8a-4912-b665-6a71ec3a8ac1","","","",""
